head,head_type,relation,tail,tail_type,confidence,sentence
"heat transport,",Climate_Variable,affects,reefs,Ecosystem,0.984,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
"heat transport,",Climate_Variable,affects,reefs,Ecosystem,0.981,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
"heat transport,",Climate_Variable,increases,solar radiation,Climate_Driver,0.788,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
"heat transport,",Climate_Variable,affects,reefs,Ecosystem,0.971,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
"heat transport,",Climate_Variable,increases,horizontal,Climate_Variable,0.972,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
Ocean warming,Climate_Driver,affects,marine,Ecosystem,0.987,Ocean warming is increasingly affecting marine ecosystems across the globe.
coral,Species,occurs_in,corals,Species,0.677,"Reefbuilding corals are particularly affected by warming, with mass bleaching events increasing in frequency and leading to widespread coral mortality."
reef,Ecosystem,occurs_in,coral,Ecosystem,0.658,"Such variability in thermal resilience could be critical to reef persistence; however, the scientific community lacks standardized diagnostic approaches to rapidly and comparatively assess coral thermal vulnerability prior to bleaching events."
coral,Ecosystem,occurs_in,reef,Ecosystem,0.916,"Such variability in thermal resilience could be critical to reef persistence; however, the scientific community lacks standardized diagnostic approaches to rapidly and comparatively assess coral thermal vulnerability prior to bleaching events."
shallow water temperature,Climate_Variable,affects,coral reefs,Ecosystem,0.981,"This mimics shallow water temperature profiles observed in coral reefs and prompts a rapid acute heat stress response that can serve as a diagnostic tool to identify putative thermotolerant corals for indepth assessments of adaptation mechanisms, targeted conservation, and possible use in restoration efforts."
shallow water temperature,Climate_Variable,affects,corals,Ecosystem,0.989,"This mimics shallow water temperature profiles observed in coral reefs and prompts a rapid acute heat stress response that can serve as a diagnostic tool to identify putative thermotolerant corals for indepth assessments of adaptation mechanisms, targeted conservation, and possible use in restoration efforts."
coral reefs,Ecosystem,occurs_in,corals,Ecosystem,0.793,"This mimics shallow water temperature profiles observed in coral reefs and prompts a rapid acute heat stress response that can serve as a diagnostic tool to identify putative thermotolerant corals for indepth assessments of adaptation mechanisms, targeted conservation, and possible use in restoration efforts."
corals,Ecosystem,occurs_in,coral reefs,Ecosystem,0.885,"This mimics shallow water temperature profiles observed in coral reefs and prompts a rapid acute heat stress response that can serve as a diagnostic tool to identify putative thermotolerant corals for indepth assessments of adaptation mechanisms, targeted conservation, and possible use in restoration efforts."
ocean temperatures,Climate_Driver,contributes_to,greenhouse gas emissions,Climate_Driver,0.899,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
ocean temperatures,Climate_Driver,contributes_to,global warming,Climate_Driver,0.636,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
ocean temperatures,Climate_Driver,affects,marine,Climate_Driver,0.889,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
ocean temperatures,Climate_Driver,increases,heatwaves.,Climate_Driver,0.982,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
greenhouse gas emissions,Climate_Driver,increases,ocean temperatures,Climate_Driver,0.949,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
greenhouse gas emissions,Climate_Driver,contributes_to,global warming,Climate_Driver,0.97,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
greenhouse gas emissions,Climate_Driver,affects,marine,Climate_Driver,0.824,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
greenhouse gas emissions,Climate_Driver,increases,heatwaves.,Climate_Driver,0.98,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
global warming,Climate_Driver,increases,ocean temperatures,Climate_Driver,0.974,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
global warming,Climate_Driver,contributes_to,greenhouse gas emissions,Climate_Driver,0.968,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
global warming,Climate_Driver,affects,marine,Climate_Driver,0.883,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
global warming,Climate_Driver,increases,heatwaves.,Climate_Driver,0.983,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
marine,Climate_Driver,increases,ocean temperatures,Climate_Driver,0.903,"Anomalously high ocean temperatures have increased in frequency, intensity, and duration over the last several decades because of greenhouse gas emissions that cause global warming and marine heatwaves."
